Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
U80,5/20/06,RNU100,SNORD80|Z15,RNU100|SNORD80|Z15
SNORD4A,4/20/06,RNU101A,Z17A|mgh18S-121,RNU101A|Z17A|mgh18S-121
Z17A,4/20/06,RNU101A,SNORD4A|mgh18S-121,RNU101A|SNORD4A|mgh18S-121
mgh18S-121,4/20/06,RNU101A,SNORD4A|Z17A,RNU101A|SNORD4A|Z17A
SNORD4B,4/20/06,RNU101B,Z17B,RNU101B|Z17B
Z17B,4/20/06,RNU101B,SNORD4B,RNU101B|SNORD4B
SNORD102,5/20/06,RNU102,U102,RNU102|U102
U102,5/20/06,RNU102,SNORD102,RNU102|SNORD102
ASIC3,12/20/15,ACCN3,TNaC1|DRASIC,ACCN3|TNaC1|DRASIC
TNaC1,12/20/15,ACCN3,ASIC3|DRASIC,ACCN3|ASIC3|DRASIC
DRASIC,12/20/15,ACCN3,ASIC3|TNaC1,ACCN3|ASIC3|TNaC1
BCNG1~,,,,
SNORD79,5/20/06,RNU103,Z22|U79,RNU103|Z22|U79
Z22,5/20/06,RNU103,SNORD79|U79,RNU103|SNORD79|U79
U79,5/20/06,RNU103,SNORD79|Z22,RNU103|SNORD79|Z22
SNORD81,5/20/06,RNU104,Z23|U81,RNU104|Z23|U81
Z23,5/20/06,RNU104,SNORD81|U81,RNU104|SNORD81|U81
U81,5/20/06,RNU104,SNORD81|Z23,RNU104|SNORD81|Z23
RNU105A~,,,,
RNU105B,,,E1-2,E1-2
E1-2,,,RNU105B,RNU105B
RNU105C,,,E1-5|E1-6|U105C,E1-5|E1-6|U105C
E1-5,,,RNU105C|E1-6|U105C,RNU105C|E1-6|U105C
E1-6,,,RNU105C|E1-5|U105C,RNU105C|E1-5|U105C
U105C,,,RNU105C|E1-5|E1-6,RNU105C|E1-5|E1-6
SNORD12C,7/20/07,RNU106|SNORD106,U106,RNU106|SNORD106|U106
U106,7/20/07,RNU106|SNORD106,SNORD12C,RNU106|SNORD106|SNORD12C
SNORA63,4/20/06,RNE3|RNU107,E3|E3-2|SNORA63A,RNE3|RNU107|E3|E3-2|SNORA63A
E3,4/20/06,RNE3|RNU107,SNORA63|E3-2|SNORA63A,RNE3|RNU107|SNORA63|E3-2|SNORA63A
E3-2,4/20/06,RNE3|RNU107,SNORA63|E3|SNORA63A,RNE3|RNU107|SNORA63|E3|SNORA63A
SNORA63A,4/20/06,RNE3|RNU107,SNORA63|E3|E3-2,RNE3|RNU107|SNORA63|E3|E3-2
SNORA62,4/20/06,RNE2|RNU108,E2|E2-1,RNE2|RNU108|E2|E2-1
E2,4/20/06,RNE2|RNU108,SNORA62|E2-1,RNE2|RNU108|SNORA62|E2-1
